segment_id,timestep,date,material,weather,age_factor,dirt_level,wear_level,reflectivity_score,spectral_mean
SEG_001,23,2025-11-18,road_marking_new,haze,0.0254,0.0464,0.0896,0.7664,0.7933
SEG_001,24,2025-11-19,road_marking_new,rain,0.0265,0.0485,0.0934,0.8374,0.8753
SEG_001,25,2025-11-20,road_marking_new,clear,0.0276,0.0505,0.0973,0.8626,0.8902
SEG_001,26,2025-11-21,road_marking_new,clear,0.0287,0.0525,0.1012,0.8668,0.8933
SEG_001,27,2025-11-22,road_marking_new,clear,0.0298,0.0545,0.1051,0.8624,0.8887
SEG_001,28,2025-11-23,road_marking_new,clear,0.0309,0.0565,0.109,0.8574,0.8859
SEG_001,29,2025-11-24,road_marking_new,clear,0.032,0.0585,0.1129,0.8574,0.8854
SEG_001,30,2025-11-25,road_marking_new,clear,0.0331,0.0606,0.1168,0.857,0.8841
SEG_001,31,2025-11-26,road_marking_new,haze,0.0342,0.0626,0.1207,0.7519,0.776
SEG_001,32,2025-11-27,road_marking_new,clear,0.0353,0.0646,0.1246,0.8502,0.8773
SEG_001,33,2025-11-28,road_marking_new,clear,0.0364,0.0666,0.1285,0.8507,0.8783
SEG_001,34,2025-11-29,road_marking_new,heavy_rain,0.0375,0.0686,0.1324,0.7874,0.8303
SEG_001,35,2025-11-30,road_marking_new,clear,0.0386,0.0707,0.1363,0.8441,0.873
SEG_001,36,2025-12-01,road_marking_new,clear,0.0397,0.0727,0.1402,0.8416,0.8708
SEG_001,37,2025-12-02,road_marking_new,rain,0.0408,0.0747,0.1441,0.8077,0.8476
SEG_001,38,2025-12-03,road_marking_new,clear,0.0419,0.0767,0.148,0.8408,0.8675
SEG_001,39,2025-12-04,road_marking_new,clear,0.043,0.0787,0.1518,0.8391,0.866
SEG_001,40,2025-12-05,road_marking_new,clear,0.0441,0.0808,0.1557,0.8357,0.8654
SEG_001,41,2025-12-06,road_marking_new,clear,0.0452,0.0828,0.1596,0.8316,0.8601
SEG_001,42,2025-12-07,road_marking_new,heavy_rain,0.0463,0.0848,0.1635,0.7735,0.8192
SEG_001,43,2025-12-08,road_marking_new,rain,0.0474,0.0868,0.1674,0.7962,0.8378
SEG_001,44,2025-12-09,road_marking_new,haze,0.0485,0.0888,0.1713,0.7208,0.7502
SEG_001,45,2025-12-10,road_marking_new,heavy_rain,0.0496,0.0908,0.1752,0.7638,0.809
SEG_001,46,2025-12-11,road_marking_new,rain,0.0507,0.0929,0.1791,0.7936,0.8343
SEG_001,47,2025-12-12,road_marking_new,clear,0.0518,0.0949,0.183,0.8196,0.8504
SEG_001,48,2025-12-13,road_marking_new,heavy_rain,0.0529,0.0969,0.1869,0.7594,0.8062
SEG_001,49,2025-12-14,road_marking_new,clear,0.054,0.0989,0.1908,0.8162,0.8451
SEG_001,50,2025-12-15,road_marking_new,rain,0.0551,0.1009,0.1947,0.7863,0.8268
SEG_001,51,2025-12-16,road_marking_new,heavy_rain,0.0562,0.103,0.1986,0.7499,0.7968
SEG_001,52,2025-12-17,road_marking_new,clear,0.0574,0.105,0.2025,0.8058,0.8374
SEG_001,53,2025-12-18,road_marking_new,clear,0.0585,0.107,0.2064,0.8072,0.8376
SEG_001,54,2025-12-19,road_marking_new,clear,0.0596,0.109,0.2103,0.8039,0.8346
SEG_001,55,2025-12-20,road_marking_new,clear,0.0607,0.111,0.2141,0.8034,0.8327
SEG_001,56,2025-12-21,road_marking_new,rain,0.0618,0.1131,0.218,0.7727,0.8133
SEG_001,57,2025-12-22,road_marking_new,heavy_rain,0.0629,0.1151,0.2219,0.7405,0.7882
SEG_001,58,2025-12-23,road_marking_new,clear,0.064,0.1171,0.2258,0.7943,0.8267
SEG_001,59,2025-12-24,road_marking_new,clear,0.0651,0.1191,0.2297,0.796,0.8251
SEG_001,60,2025-12-25,road_marking_new,clear,0.0662,0.1211,0.2336,0.7918,0.8237
SEG_001,61,2025-12-26,road_marking_new,clear,0.0673,0.1232,0.2375,0.7889,0.8202
SEG_001,62,2025-12-27,road_marking_new,clear,0.0684,0.1252,0.2414,0.7889,0.8193
SEG_001,63,2025-12-28,road_marking_new,clear,0.0695,0.1272,0.2453,0.7856,0.8173
SEG_001,64,2025-12-29,road_marking_new,fog,0.0706,0.1292,0.2492,0.6077,0.6365
SEG_001,65,2025-12-30,road_marking_new,clear,0.0717,0.1312,0.2531,0.7815,0.8133
SEG_001,66,2025-12-31,road_marking_new,clear,0.0728,0.1332,0.257,0.7786,0.8111
SEG_001,67,2026-01-01,road_marking_new,rain,0.0739,0.1353,0.2609,0.7526,0.7946
SEG_001,68,2026-01-02,road_marking_new,clear,0.075,0.1373,0.2648,0.7751,0.8081
SEG_001,69,2026-01-03,road_marking_new,fog,0.0761,0.1393,0.2687,0.5978,0.6203
SEG_001,70,2026-01-04,road_marking_new,fog,0.0772,0.1413,0.2725,0.5993,0.6262
SEG_001,71,2026-01-05,road_marking_new,clear,0.0783,0.1433,0.2764,0.7698,0.8022
SEG_001,72,2026-01-06,road_marking_new,clear,0.0794,0.1454,0.2803,0.7682,0.7999
SEG_001,73,2026-01-07,road_marking_new,clear,0.0805,0.1474,0.2842,0.7637,0.7978
SEG_001,74,2026-01-08,road_marking_new,clear,0.0816,0.1494,0.2881,0.7629,0.7958
SEG_001,75,2026-01-09,road_marking_new,clear,0.0827,0.1514,0.292,0.7642,0.7964
SEG_001,76,2026-01-10,road_marking_new,haze,0.0838,0.1534,0.2959,0.6587,0.6909
SEG_001,77,2026-01-11,road_marking_new,clear,0.0849,0.1555,0.2998,0.7565,0.7899
SEG_001,78,2026-01-12,road_marking_new,clear,0.086,0.1575,0.3037,0.7563,0.7915
SEG_001,79,2026-01-13,road_marking_new,clear,0.0871,0.1595,0.3076,0.7533,0.7878
SEG_001,80,2026-01-14,road_marking_new,heavy_rain,0.0882,0.1615,0.3115,0.6903,0.7397
SEG_001,81,2026-01-15,road_marking_new,clear,0.0893,0.1635,0.3154,0.7486,0.7822
SEG_001,82,2026-01-16,road_marking_new,clear,0.0904,0.1655,0.3193,0.7476,0.7806
SEG_001,83,2026-01-17,road_marking_new,clear,0.0915,0.1676,0.3232,0.7418,0.7754
SEG_001,84,2026-01-18,road_marking_new,fog,0.0926,0.1696,0.3271,0.5704,0.6024
SEG_001,85,2026-01-19,road_marking_new,clear,0.0937,0.1716,0.331,0.7392,0.7737
SEG_001,86,2026-01-20,road_marking_new,haze,0.0949,0.1736,0.3348,0.6377,0.673
SEG_001,87,2026-01-21,road_marking_new,rain,0.096,0.1756,0.3387,0.7043,0.7495
SEG_001,88,2026-01-22,road_marking_new,clear,0.0971,0.1777,0.3426,0.7325,0.7679
SEG_001,89,2026-01-23,road_marking_new,rain,0.0982,0.1797,0.3465,0.7025,0.7498
SEG_001,90,2026-01-24,road_marking_new,clear,0.0993,0.1817,0.3504,0.7296,0.7639
SEG_001,91,2026-01-25,road_marking_new,haze,0.1004,0.1837,0.3543,0.6248,0.6615
SEG_001,92,2026-01-26,road_marking_new,haze,0.1015,0.1857,0.3582,0.6262,0.6608
SEG_001,93,2026-01-27,road_marking_new,clear,0.1026,0.1878,0.3621,0.7266,0.7598
SEG_001,94,2026-01-28,road_marking_new,clear,0.1037,0.1898,0.366,0.7229,0.7576
SEG_001,95,2026-01-29,road_marking_new,rain,0.1048,0.1918,0.3699,0.6925,0.7378
SEG_001,96,2026-01-30,road_marking_new,clear,0.1059,0.1938,0.3738,0.7192,0.7535
SEG_001,97,2026-01-31,road_marking_new,clear,0.107,0.1958,0.3777,0.7162,0.7528
SEG_001,98,2026-02-01,road_marking_new,clear,0.1081,0.1978,0.3816,0.7115,0.747
SEG_001,99,2026-02-02,road_marking_new,haze,0.1092,0.1999,0.3855,0.6151,0.65
SEG_001,100,2026-02-03,road_marking_new,haze,0.1103,0.2019,0.3894,0.6136,0.6481
SEG_001,101,2026-02-04,road_marking_new,clear,0.1114,0.2039,0.3932,0.7079,0.7425
SEG_001,102,2026-02-05,road_marking_new,clear,0.1125,0.2059,0.3971,0.7042,0.7404
SEG_001,103,2026-02-06,road_marking_new,clear,0.1136,0.2079,0.401,0.7011,0.7395
SEG_001,104,2026-02-07,road_marking_new,haze,0.1147,0.21,0.4049,0.6028,0.6396
SEG_001,105,2026-02-08,road_marking_new,clear,0.1158,0.212,0.4088,0.6992,0.7371
SEG_001,106,2026-02-09,road_marking_new,haze,0.1169,0.214,0.4127,0.5987,0.6349
SEG_001,107,2026-02-10,road_marking_new,clear,0.118,0.216,0.4166,0.694,0.7314
SEG_001,108,2026-02-11,road_marking_new,fog,0.1191,0.218,0.4205,0.5262,0.5626
SEG_001,109,2026-02-12,road_marking_new,clear,0.1202,0.2201,0.4244,0.6876,0.7248
SEG_001,110,2026-02-13,road_marking_new,clear,0.1213,0.2221,0.4283,0.6869,0.7231
SEG_001,111,2026-02-14,road_marking_new,clear,0.1224,0.2241,0.4322,0.6824,0.7215
SEG_001,112,2026-02-15,road_marking_new,heavy_rain,0.1235,0.2261,0.4361,0.6252,0.6783
SEG_001,113,2026-02-16,road_marking_new,heavy_rain,0.1246,0.2281,0.44,0.6223,0.6761
SEG_001,114,2026-02-17,road_marking_new,clear,0.1257,0.2302,0.4439,0.6801,0.7175
SEG_001,115,2026-02-18,road_marking_new,haze,0.1268,0.2322,0.4478,0.5807,0.619
SEG_001,116,2026-02-19,road_marking_new,rain,0.1279,0.2342,0.4517,0.6479,0.6965
SEG_001,117,2026-02-20,road_marking_new,haze,0.129,0.2362,0.4555,0.576,0.6143
SEG_001,118,2026-02-21,road_marking_new,clear,0.1301,0.2382,0.4594,0.6701,0.7082
SEG_001,119,2026-02-22,road_marking_new,clear,0.1312,0.2402,0.4633,0.6715,0.7085
SEG_001,120,2026-02-23,road_marking_new,clear,0.1324,0.2423,0.4672,0.6664,0.7053
SEG_001,121,2026-02-24,road_marking_new,heavy_rain,0.1335,0.2443,0.4711,0.608,0.6618
SEG_001,122,2026-02-25,road_marking_new,heavy_rain,0.1346,0.2463,0.475,0.6062,0.6607
SEG_001,123,2026-02-26,road_marking_new,haze,0.1357,0.2483,0.4789,0.5628,0.6027
SEG_001,124,2026-02-27,road_marking_new,clear,0.1368,0.2503,0.4828,0.6542,0.6944
SEG_001,125,2026-02-28,road_marking_new,clear,0.1379,0.2524,0.4867,0.657,0.6963
SEG_001,126,2026-03-01,road_marking_new,rain,0.139,0.2544,0.4906,0.6248,0.6746
SEG_001,127,2026-03-02,road_marking_new,heavy_rain,0.1401,0.2564,0.4945,0.5918,0.6484
SEG_001,128,2026-03-03,road_marking_new,heavy_rain,0.1412,0.2584,0.4984,0.5938,0.6479
SEG_001,129,2026-03-04,road_marking_new,rain,0.1423,0.2604,0.5023,0.6199,0.6691
SEG_001,130,2026-03-05,road_marking_new,haze,0.1434,0.2625,0.5062,0.5503,0.5903
SEG_001,131,2026-03-06,road_marking_new,clear,0.1445,0.2645,0.5101,0.6422,0.6817
SEG_001,132,2026-03-07,road_marking_new,clear,0.1456,0.2665,0.5139,0.6436,0.6833
SEG_001,133,2026-03-08,road_marking_new,heavy_rain,0.1467,0.2685,0.5178,0.5823,0.6395
SEG_001,134,2026-03-09,road_marking_new,haze,0.1478,0.2705,0.5217,0.5409,0.582
SEG_001,135,2026-03-10,road_marking_new,clear,0.1489,0.2725,0.5256,0.6369,0.677
SEG_001,136,2026-03-11,road_marking_new,clear,0.15,0.2746,0.5295,0.6345,0.6755
SEG_001,137,2026-03-12,road_marking_new,haze,0.1511,0.2766,0.5334,0.5369,0.577
SEG_001,138,2026-03-13,road_marking_new,clear,0.1522,0.2786,0.5373,0.6263,0.6696
SEG_001,139,2026-03-14,road_marking_new,clear,0.1533,0.2806,0.5412,0.6283,0.6702
SEG_001,140,2026-03-15,road_marking_new,clear,0.1544,0.2826,0.5451,0.6259,0.667
SEG_001,141,2026-03-16,road_marking_new,haze,0.1555,0.2847,0.549,0.528,0.5708
SEG_001,142,2026-03-17,road_marking_new,haze,0.1566,0.2867,0.5529,0.5259,0.5667
SEG_001,143,2026-03-18,road_marking_new,clear,0.1577,0.2887,0.5568,0.6169,0.6576
SEG_001,144,2026-03-19,road_marking_new,rain,0.1588,0.2907,0.5607,0.5888,0.6406
SEG_001,145,2026-03-20,road_marking_new,clear,0.1599,0.2927,0.5646,0.6184,0.6574
SEG_001,146,2026-03-21,road_marking_new,clear,0.161,0.2948,0.5685,0.6137,0.6551
SEG_001,147,2026-03-22,road_marking_new,rain,0.1621,0.2968,0.5724,0.5854,0.636
SEG_001,148,2026-03-23,road_marking_new,haze,0.1632,0.2988,0.5762,0.5154,0.5574
SEG_001,149,2026-03-24,road_marking_new,rain,0.1643,0.3008,0.5801,0.5774,0.6308
SEG_001,150,2026-03-25,road_marking_new,haze,0.1654,0.3028,0.584,0.511,0.5527
SEG_001,151,2026-03-26,road_marking_new,haze,0.1665,0.3048,0.5879,0.5098,0.5526
SEG_001,152,2026-03-27,road_marking_new,clear,0.1676,0.3069,0.5918,0.601,0.6443
SEG_001,153,2026-03-28,road_marking_new,clear,0.1687,0.3089,0.5957,0.5992,0.6415
SEG_001,154,2026-03-29,road_marking_new,clear,0.1699,0.3109,0.5996,0.597,0.6392
SEG_001,155,2026-03-30,road_marking_new,clear,0.171,0.3129,0.6035,0.5943,0.6371
SEG_001,156,2026-03-31,road_marking_new,fog,0.1721,0.3149,0.6074,0.4287,0.469
SEG_001,157,2026-04-01,road_marking_new,clear,0.1732,0.317,0.6113,0.5895,0.6338
SEG_001,158,2026-04-02,road_marking_new,heavy_rain,0.1743,0.319,0.6152,0.532,0.5903
SEG_001,159,2026-04-03,road_marking_new,haze,0.1754,0.321,0.6191,0.4913,0.5348
SEG_001,160,2026-04-04,road_marking_new,rain,0.1765,0.323,0.623,0.5537,0.6067
SEG_001,161,2026-04-05,road_marking_new,clear,0.1776,0.325,0.6269,0.5816,0.6246
SEG_001,162,2026-04-06,road_marking_new,haze,0.1787,0.3271,0.6308,0.4844,0.5286
SEG_001,163,2026-04-07,road_marking_new,clear,0.1798,0.3291,0.6346,0.5773,0.6212
SEG_001,164,2026-04-08,road_marking_new,clear,0.1809,0.3311,0.6385,0.5776,0.6206
SEG_001,165,2026-04-09,road_marking_new,rain,0.182,0.3331,0.6424,0.543,0.5988
SEG_001,166,2026-04-10,road_marking_new,clear,0.1831,0.3351,0.6463,0.5742,0.6177
SEG_001,167,2026-04-11,road_marking_new,clear,0.1842,0.3371,0.6502,0.57,0.614
SEG_001,168,2026-04-12,road_marking_new,haze,0.1853,0.3392,0.6541,0.4745,0.52
SEG_001,169,2026-04-13,road_marking_new,clear,0.1864,0.3412,0.658,0.566,0.6096
SEG_001,170,2026-04-14,road_marking_new,fog,0.1875,0.3432,0.6619,0.3972,0.4416
SEG_001,171,2026-04-15,road_marking_new,fog,0.1886,0.3452,0.6658,0.3911,0.4364
SEG_001,172,2026-04-16,road_marking_new,heavy_rain,0.1897,0.3472,0.6697,0.5018,0.5622
SEG_001,173,2026-04-17,road_marking_new,clear,0.1908,0.3493,0.6736,0.5562,0.6024
SEG_001,174,2026-04-18,road_marking_new,clear,0.1919,0.3513,0.6775,0.5529,0.5972
SEG_001,175,2026-04-19,road_marking_new,heavy_rain,0.193,0.3533,0.6814,0.4919,0.5531
SEG_001,176,2026-04-20,road_marking_new,clear,0.1941,0.3553,0.6853,0.5502,0.5955
SEG_001,177,2026-04-21,road_marking_new,fog,0.1952,0.3573,0.6892,0.3911,0.4309
SEG_001,178,2026-04-22,road_marking_new,fog,0.1963,0.3594,0.6931,0.3782,0.4255
SEG_001,179,2026-04-23,road_marking_new,heavy_rain,0.1974,0.3614,0.6969,0.4903,0.551
SEG_002,0,2025-10-26,concrete,rain,0.0,0.0,0.0,0.7412,0.752
SEG_002,1,2025-10-27,concrete,clear,0.0058,0.0009,0.0032,0.7678,0.7664
SEG_002,2,2025-10-28,concrete,clear,0.0117,0.0019,0.0064,0.7619,0.7621
SEG_002,3,2025-10-29,concrete,rain,0.0175,0.0028,0.0096,0.7321,0.74
SEG_002,4,2025-10-30,concrete,rain,0.0234,0.0037,0.0129,0.7279,0.7382
SEG_002,5,2025-10-31,concrete,rain,0.0292,0.0046,0.0161,0.7244,0.7339
SEG_002,6,2025-11-01,concrete,rain,0.0351,0.0056,0.0193,0.721,0.7314
SEG_002,7,2025-11-02,concrete,clear,0.0409,0.0065,0.0225,0.7473,0.746
SEG_002,8,2025-11-03,concrete,clear,0.0468,0.0074,0.0257,0.7413,0.7418
SEG_002,9,2025-11-04,concrete,clear,0.0526,0.0083,0.0289,0.7406,0.7387
SEG_002,10,2025-11-05,concrete,heavy_rain,0.0585,0.0093,0.0321,0.6764,0.6915
SEG_002,11,2025-11-06,concrete,haze,0.0643,0.0102,0.0353,0.6428,0.6463
SEG_002,12,2025-11-07,concrete,clear,0.0702,0.0111,0.0386,0.7249,0.7252
SEG_002,13,2025-11-08,concrete,clear,0.076,0.012,0.0418,0.7256,0.726
SEG_002,14,2025-11-09,concrete,clear,0.0819,0.013,0.045,0.7209,0.7198
SEG_002,15,2025-11-10,concrete,clear,0.0877,0.0139,0.0482,0.7197,0.7189
SEG_002,16,2025-11-11,concrete,rain,0.0936,0.0148,0.0514,0.6827,0.6945
SEG_002,17,2025-11-12,concrete,haze,0.0994,0.0157,0.0546,0.6255,0.6292
SEG_002,18,2025-11-13,concrete,heavy_rain,0.1053,0.0167,0.0578,0.6477,0.6633
SEG_002,19,2025-11-14,concrete,clear,0.1111,0.0176,0.061,0.7012,0.703
SEG_002,20,2025-11-15,concrete,clear,0.117,0.0185,0.0643,0.7002,0.6996
SEG_002,21,2025-11-16,concrete,rain,0.1228,0.0195,0.0675,0.6633,0.6771
SEG_002,22,2025-11-17,concrete,rain,0.1287,0.0204,0.0707,0.6637,0.6752
SEG_002,23,2025-11-18,concrete,haze,0.1345,0.0213,0.0739,0.604,0.6096
SEG_002,24,2025-11-19,concrete,rain,0.1404,0.0222,0.0771,0.654,0.6665
SEG_002,25,2025-11-20,concrete,clear,0.1462,0.0232,0.0803,0.6795,0.6814
SEG_002,26,2025-11-21,concrete,clear,0.1521,0.0241,0.0835,0.6758,0.6778
SEG_002,27,2025-11-22,concrete,clear,0.1579,0.025,0.0868,0.6729,0.6748
SEG_002,28,2025-11-23,concrete,clear,0.1638,0.0259,0.09,0.671,0.6729
SEG_002,29,2025-11-24,concrete,clear,0.1696,0.0269,0.0932,0.6672,0.6696
SEG_002,30,2025-11-25,concrete,clear,0.1755,0.0278,0.0964,0.6624,0.6648
SEG_002,31,2025-11-26,concrete,haze,0.1813,0.0287,0.0996,0.5812,0.5854
SEG_002,32,2025-11-27,concrete,clear,0.1872,0.0296,0.1028,0.6545,0.6582
SEG_002,33,2025-11-28,concrete,clear,0.193,0.0306,0.106,0.6506,0.6532
SEG_002,34,2025-11-29,concrete,heavy_rain,0.1989,0.0315,0.1092,0.5882,0.6065
SEG_002,35,2025-11-30,concrete,clear,0.2047,0.0324,0.1125,0.6442,0.6472
SEG_002,36,2025-12-01,concrete,clear,0.2106,0.0333,0.1157,0.6414,0.6442
SEG_002,37,2025-12-02,concrete,rain,0.2164,0.0343,0.1189,0.6069,0.6215
SEG_002,38,2025-12-03,concrete,clear,0.2223,0.0352,0.1221,0.6344,0.6388
SEG_002,39,2025-12-04,concrete,clear,0.2281,0.0361,0.1253,0.6271,0.6302
SEG_002,40,2025-12-05,concrete,clear,0.234,0.0371,0.1285,0.629,0.6301
SEG_002,41,2025-12-06,concrete,clear,0.2398,0.038,0.1317,0.6246,0.6282
SEG_002,42,2025-12-07,concrete,heavy_rain,0.2457,0.0389,0.1349,0.5617,0.581
SEG_002,43,2025-12-08,concrete,rain,0.2515,0.0398,0.1382,0.5836,0.5997
SEG_002,44,2025-12-09,concrete,haze,0.2574,0.0408,0.1414,0.535,0.5428
SEG_002,45,2025-12-10,concrete,heavy_rain,0.2632,0.0417,0.1446,0.5496,0.5699
SEG_002,46,2025-12-11,concrete,rain,0.2691,0.0426,0.1478,0.5752,0.5889
SEG_002,47,2025-12-12,concrete,clear,0.2749,0.0435,0.151,0.6025,0.6048
SEG_002,48,2025-12-13,concrete,heavy_rain,0.2808,0.0445,0.1542,0.5389,0.5574
SEG_002,49,2025-12-14,concrete,clear,0.2866,0.0454,0.1574,0.5915,0.5967
SEG_002,50,2025-12-15,concrete,rain,0.2925,0.0463,0.1606,0.5602,0.5756
SEG_002,51,2025-12-16,concrete,heavy_rain,0.2983,0.0472,0.1639,0.5242,0.5471
SEG_002,52,2025-12-17,concrete,clear,0.3042,0.0482,0.1671,0.5831,0.5881
SEG_002,53,2025-12-18,concrete,clear,0.31,0.0491,0.1703,0.5814,0.5858
SEG_002,54,2025-12-19,concrete,clear,0.3159,0.05,0.1735,0.5785,0.582
SEG_002,55,2025-12-20,concrete,clear,0.3217,0.0509,0.1767,0.5695,0.5764
SEG_002,56,2025-12-21,concrete,rain,0.3276,0.0519,0.1799,0.5401,0.5555
SEG_002,57,2025-12-22,concrete,heavy_rain,0.3334,0.0528,0.1831,0.5054,0.5283
SEG_002,58,2025-12-23,concrete,clear,0.3393,0.0537,0.1864,0.5588,0.5645
SEG_002,59,2025-12-24,concrete,clear,0.3451,0.0547,0.1896,0.5588,0.5643
SEG_002,60,2025-12-25,concrete,clear,0.351,0.0556,0.1928,0.5567,0.5603
SEG_002,61,2025-12-26,concrete,clear,0.3568,0.0565,0.196,0.5518,0.5582
SEG_002,62,2025-12-27,concrete,clear,0.3627,0.0574,0.1992,0.5463,0.5508
SEG_002,63,2025-12-28,concrete,clear,0.3685,0.0584,0.2024,0.5413,0.5484
SEG_002,64,2025-12-29,concrete,fog,0.3744,0.0593,0.2056,0.4178,0.4225
SEG_002,65,2025-12-30,concrete,clear,0.3802,0.0602,0.2088,0.5346,0.5413
SEG_002,66,2025-12-31,concrete,clear,0.3861,0.0611,0.2121,0.5341,0.539
SEG_002,67,2026-01-01,concrete,rain,0.3919,0.0621,0.2153,0.4989,0.5172
SEG_002,68,2026-01-02,concrete,clear,0.3978,0.063,0.2185,0.5249,0.5302
SEG_002,69,2026-01-03,concrete,fog,0.4036,0.0639,0.2217,0.4063,0.4138
SEG_002,70,2026-01-04,concrete,fog,0.4095,0.0648,0.2249,0.4064,0.4117
SEG_002,71,2026-01-05,concrete,clear,0.4153,0.0658,0.2281,0.5147,0.5211
SEG_002,72,2026-01-06,concrete,clear,0.4212,0.0667,0.2313,0.5097,0.5157
SEG_002,73,2026-01-07,concrete,clear,0.427,0.0676,0.2345,0.5059,0.5129
SEG_002,74,2026-01-08,concrete,clear,0.4329,0.0685,0.2378,0.5046,0.5103
SEG_002,75,2026-01-09,concrete,clear,0.4387,0.0695,0.241,0.5005,0.5067
SEG_002,76,2026-01-10,concrete,haze,0.4446,0.0704,0.2442,0.4341,0.4439
SEG_002,77,2026-01-11,concrete,clear,0.4504,0.0713,0.2474,0.4919,0.4988
SEG_002,78,2026-01-12,concrete,clear,0.4563,0.0723,0.2506,0.4894,0.4967
SEG_002,79,2026-01-13,concrete,clear,0.4621,0.0732,0.2538,0.4855,0.4918
SEG_002,80,2026-01-14,concrete,heavy_rain,0.468,0.0741,0.257,0.4264,0.4487
SEG_002,81,2026-01-15,concrete,clear,0.4738,0.075,0.2603,0.4798,0.4871
SEG_002,82,2026-01-16,concrete,clear,0.4797,0.076,0.2635,0.4747,0.4828
SEG_002,83,2026-01-17,concrete,clear,0.4855,0.0769,0.2667,0.4717,0.4799
SEG_002,84,2026-01-18,concrete,fog,0.4914,0.0778,0.2699,0.3525,0.3633
SEG_002,85,2026-01-19,concrete,clear,0.4972,0.0787,0.2731,0.4605,0.4696
SEG_002,86,2026-01-20,concrete,haze,0.5031,0.0797,0.2763,0.3994,0.409
SEG_002,87,2026-01-21,concrete,rain,0.5089,0.0806,0.2795,0.4276,0.445
SEG_002,88,2026-01-22,concrete,clear,0.5148,0.0815,0.2827,0.4534,0.4614
SEG_002,89,2026-01-23,concrete,rain,0.5206,0.0824,0.286,0.4224,0.4413
SEG_002,90,2026-01-24,concrete,clear,0.5265,0.0834,0.2892,0.4449,0.453
SEG_002,91,2026-01-25,concrete,haze,0.5323,0.0843,0.2924,0.3836,0.3947
SEG_002,92,2026-01-26,concrete,haze,0.5382,0.0852,0.2956,0.3814,0.3914
SEG_002,93,2026-01-27,concrete,clear,0.544,0.0861,0.2988,0.4369,0.446
SEG_002,94,2026-01-28,concrete,clear,0.5499,0.0871,0.302,0.4325,0.4405
SEG_002,95,2026-01-29,concrete,rain,0.5557,0.088,0.3052,0.4,0.4192
SEG_002,96,2026-01-30,concrete,clear,0.5616,0.0889,0.3084,0.422,0.4304
SEG_002,97,2026-01-31,concrete,clear,0.5674,0.0899,0.3117,0.418,0.4276
SEG_002,98,2026-02-01,concrete,clear,0.5733,0.0908,0.3149,0.4157,0.4249
SEG_002,99,2026-02-02,concrete,haze,0.5791,0.0917,0.3181,0.3561,0.3679
SEG_002,100,2026-02-03,concrete,haze,0.585,0.0926,0.3213,0.3511,0.3652
SEG_002,101,2026-02-04,concrete,clear,0.5908,0.0936,0.3245,0.4067,0.4171
SEG_002,102,2026-02-05,concrete,clear,0.5967,0.0945,0.3277,0.3998,0.4111
SEG_002,103,2026-02-06,concrete,clear,0.6025,0.0954,0.3309,0.3983,0.4088
